platform	external_id	title	price	rating	review_count	sold	commission_rate	source_url	affiliate_link	image_url	purchase_signal	selected_order
shopee	20499188318	Motosserra Elétrica Sem Fio Recarregável 6 polegada corte 15cm com 2 baterias 10000ma EXBOM	R$ 269,91	4.8		62	33	https://shopee.com.br/product/411693079/20499188318	https://s.shopee.com.br/20u7AHfi12	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-lqyxv1curll94c.webp	62 vendas na Shopee	5
shopee	22094378251	Foxlux Bomba D´agua Periferica 1/2 Cv 370w X 64.03 Cor Laranja Fase elétrica 220V	R$ 185,40	4.9		83	31	https://shopee.com.br/product/769515073/22094378251	https://s.shopee.com.br/AAFotIb18L	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mdubxiol74c9fa.webp	83 vendas na Shopee	6
shopee	23798229434	KIT BICO DE ALTA PRESSÃO COM ENGATE RÁPIDO E ADAPTADOR - FORCE LINE	R$ 28,41	4.6		127	31	https://shopee.com.br/product/769515073/23798229434	https://s.shopee.com.br/5Ar8w7tVhd	https://down-bs-br.img.susercontent.com/br-11134207-820lr-mogvmymynrb4c6.webp	127 vendas na Shopee	7
shopee	22599380159	Cinto Duplo Preto Solze Porta Parafusadeira Ferramentas + Multiuso	R$ 139,90	5		183	28	https://shopee.com.br/product/1403196542/22599380159	https://s.shopee.com.br/3g2L9NPkyL	https://down-bs-br.img.susercontent.com/br-11134207-820lq-mlp0iaq5l72f41.webp	183 vendas na Shopee	8
shopee	22499171953	Kit Pistola E Lança Para Lavadora Alta Pressão Multimarcas Powerwash Ews10 Uws10 Reposição Universal	R$ 104,99	5		20	28	https://shopee.com.br/product/628492017/22499171953	https://s.shopee.com.br/9zwOh1WRb0	https://down-bs-br.img.susercontent.com/sg-11134201-821d0-mgqlar1qb11m40.webp	20 vendas na Shopee	9
shopee	58207367744	Martelete de impacto Rompedor Com 2 Baterias Perfurador Brushless 4 Em 1 Profissional Sem Fio	R$ 651,00	5		14	28	https://shopee.com.br/product/1374059919/58207367744	https://s.shopee.com.br/3g2L9OPDPZ	https://down-bs-br.img.susercontent.com/br-11134207-820mh-mm3nn9y372m862.webp	14 vendas na Shopee	10
shopee	20797417922	Cinto Duplo Solze Verde Militar para ferramentas. Bolsa Multiuso + Coldre para parafusadeira + cinto acolchoado e fivela	R$ 118,91	4.9		1mil+	28	https://shopee.com.br/product/1081252292/20797417922	https://s.shopee.com.br/5fnPX4i8Z1	https://down-bs-br.img.susercontent.com/br-11134207-81ztp-mkvc11fb4gle98.webp	1mil+ vendas na Shopee	11
shopee	22397663388	Engate Rápido c/ Espigão e Filtro para Lavadora Alta Pressão WAP	R$ 19,84	4.9		295	28	https://shopee.com.br/product/628492017/22397663388	https://s.shopee.com.br/7VF3iS5onB	https://down-bs-br.img.susercontent.com/br-11134207-820l8-mpibt5jezsaq22.webp	295 vendas na Shopee	12
shopee	23594340040	Bomba D Agua Periférica 1/2 Cv 370w 60hz Monofásica Foxlux - 127W	R$ 175,10	4.9		171	28	https://shopee.com.br/product/769515073/23594340040	https://s.shopee.com.br/40fBY24ZtC	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mdubxiol74c9fa.webp	171 vendas na Shopee	13
shopee	22699146351	Adaptador para Parafusadeira Encaixe 1/4 Angular Magnético Profissional	R$ 16,90	4.9		135	28	https://shopee.com.br/product/1600182988/22699146351	https://s.shopee.com.br/3qLlLjbFMp	https://down-bs-br.img.susercontent.com/sg-11134201-82581-mgcsnqkmi87i54.webp	135 vendas na Shopee	14
